id,name,quantity,category,location,manager,status,booking_required,form_link,notes
nokov-motion-capture-system,NOKOV动捕系统,1,动捕设备,待确认,,待确认,待确认,内部链接,NOKOV；含4个摄像头、1个交换机及若干网线
raspberry-pi-4-4gb-kit,树莓派4代开发板 4G套餐 32G卡,1,开发板,待确认,,待确认,待确认,内部链接,芯板坊；单板、黑色外壳、电源、microHDMI线、网线、32G卡、读卡器及摄像头
raspberry-pi-kit-16gb-card,树莓派开发板 16G卡,1,开发板,待确认,,待确认,待确认,内部链接,单板、红色外壳、电源、microHDMI线、网线、32G卡、读卡器及摄像头
orangepi-5pro-kit-f-16gb,香橙派 OrangePi 5 Pro 16G 套餐 F,1,开发板,待确认,,待确认,待确认,内部链接,Orange Pi；RK3588S；单板、256G eMMC、金属外壳、10.1寸屏、电源、摄像头及散热片
ruijie-lora-gateway-8ch,芮捷物联网网关8通道,1,物联网网关,待确认,,待确认,待确认,内部链接,芮捷电子；LoRa/LoRaWAN室内室外4G以太网SX1302多链路 GL610-CN频段
heltec-lora32-v3,LoRa32 V3 ESP32-S3 LoRa兼容Arduino开发板 OLED SX1262,6,开发板,待确认,,待确认,待确认,内部链接,惠特自动化
lilygo-t-beam-v1-2,T-Beam V1.2 ESP32 LoRa SX1262 433MHz CH9102F AXP2101版本 Q423-SoftRF,1,开发板,待确认,,待确认,待确认,内部链接,LILYGO
bme280-sensor,GY-BME280-3.3V 温湿度气压传感器,6,环境传感器,待确认,,待确认,待确认,内部链接,信德电子
pir-sensor-ph2,PIR人体红外 PH2.0接口,6,传感器,待确认,,待确认,待确认,内部链接,欣微电子
sw-18010p-vibration-sensor,SW-18010P 震动传感器,6,传感器,待确认,,待确认,待确认,内部链接,欣微电子
ina226-module,INA226模块,2,检测模块,待确认,,待确认,待确认,内部链接,冠拓电子科技有限公司
433-470mhz-antenna,433/470弹簧天线,8,通信配件,待确认,,待确认,待确认,内部链接,创捷电子通讯；433/470MHz内置FPC天线、433m弹簧天线、LoRa模块PCB天线、全向高增益
gnss-dual-band-active-antenna,GPS北斗双频内置有源陶瓷天线,1,定位配件,待确认,,待确认,待确认,内部链接,华誉电子通讯
eve-18650-3500mah-battery,亿纬18650-3500 平头 3C锂电池,4,电池,待确认,,待确认,待确认,内部链接,NX电芯超市
breadboard-830,830孔面包板,3,实验配件,待确认,,待确认,待确认,内部链接,鹿小班旗舰店
dupont-wire,杜邦线,240,线材,待确认,,待确认,待确认,内部链接,zave旗舰店和wavgat旗舰店；公对公160根、公对母40根、母对母40根
uav,无人机,若干,无人机平台,待确认,,待确认,待确认,内部链接,
asus-laptop,华硕笔记本电脑,1,计算机,待确认,,待确认,待确认,内部链接,16G内存；1T存储
